,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
25176,Athens,2004,Aquatics,Diving,"TIAN, Liang",CHN,Men,10m platform,M,Bronze
25177,Athens,2004,Aquatics,Diving,"HU, Jia",CHN,Men,10m platform,M,Gold
25178,Athens,2004,Aquatics,Diving,"HELM, Mathew",AUS,Men,10m platform,M,Silver
25179,Athens,2004,Aquatics,Diving,"TOURKY, Loudy",AUS,Women,10m platform,W,Bronze
25180,Athens,2004,Aquatics,Diving,"NEWBERY, Chantelle",AUS,Women,10m platform,W,Gold
25181,Athens,2004,Aquatics,Diving,"LAO, Lishi",CHN,Women,10m platform,W,Silver
25182,Athens,2004,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,3m springboard,M,Bronze
25183,Athens,2004,Aquatics,Diving,"PENG, Bo",CHN,Men,3m springboard,M,Gold
25184,Athens,2004,Aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3m springboard,M,Silver
25185,Athens,2004,Aquatics,Diving,"PAKHALINA, Ioulia",RUS,Women,3m springboard,W,Bronze
25186,Athens,2004,Aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,Gold
25187,Athens,2004,Aquatics,Diving,"WU, Minxia",CHN,Women,3m springboard,W,Silver
25188,Athens,2004,Aquatics,Diving,"HELM, Mathew",AUS,Men,synchronized diving 10m platform,M,Bronze
25189,Athens,2004,Aquatics,Diving,"NEWBERY, Robert",AUS,Men,synchronized diving 10m platform,M,Bronze
25190,Athens,2004,Aquatics,Diving,"TIAN, Liang",CHN,Men,synchronized diving 10m platform,M,Gold
25191,Athens,2004,Aquatics,Diving,"YANG, Jinghui",CHN,Men,synchronized diving 10m platform,M,Gold
25192,Athens,2004,Aquatics,Diving,"TAYLOR, Leon",GBR,Men,synchronized diving 10m platform,M,Silver
25193,Athens,2004,Aquatics,Diving,"WATERFIELD, Peter",GBR,Men,synchronized diving 10m platform,M,Silver
25194,Athens,2004,Aquatics,Diving,"HARTLEY, Blythe",CAN,Women,synchronized diving 10m platform,W,Bronze
25195,Athens,2004,Aquatics,Diving,"HEYMANS, Emilie",CAN,Women,synchronized diving 10m platform,W,Bronze
25196,Athens,2004,Aquatics,Diving,"LAO, Lishi",CHN,Women,synchronized diving 10m platform,W,Gold
25197,Athens,2004,Aquatics,Diving,"LI, Ting",CHN,Women,synchronized diving 10m platform,W,Gold
25198,Athens,2004,Aquatics,Diving,"GONCHAROVA, Natalia",RUS,Women,synchronized diving 10m platform,W,Silver
