,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
6329,Berlin,1936,Aquatics,Diving,"STORK, Hermann",GER,Men,10m platform,M,Bronze
6330,Berlin,1936,Aquatics,Diving,"WAYNE, Marshall",USA,Men,10m platform,M,Gold
6331,Berlin,1936,Aquatics,Diving,"ROOT, Elbert Alonzo",USA,Men,10m platform,M,Silver
6332,Berlin,1936,Aquatics,Diving,"KÖHLER, Käthe",GER,Women,10m platform,W,Bronze
6333,Berlin,1936,Aquatics,Diving,"POYNTON-HILL, Dorothy",USA,Women,10m platform,W,Gold
6334,Berlin,1936,Aquatics,Diving,"DUNN PLOESSEL, Velma Clancy",USA,Women,10m platform,W,Silver
6335,Berlin,1936,Aquatics,Diving,"GREENE, Alan",USA,Men,3m springboard,M,Bronze
6336,Berlin,1936,Aquatics,Diving,"DEGENER, Richard Kempster",USA,Men,3m springboard,M,Gold
6337,Berlin,1936,Aquatics,Diving,"WAYNE, Marshall",USA,Men,3m springboard,M,Silver
6338,Berlin,1936,Aquatics,Diving,"POYNTON-HILL, Dorothy",USA,Women,3m springboard,W,Bronze
6339,Berlin,1936,Aquatics,Diving,"GESTRING, Marjorie",USA,Women,3m springboard,W,Gold
6340,Berlin,1936,Aquatics,Diving,"RAWLS, Katherine Louise",USA,Women,3m springboard,W,Silver
6341,Berlin,1936,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Bronze
6342,Berlin,1936,Aquatics,Swimming,"KIEFER, Adolph Gustav",USA,Men,100m backstroke,M,Gold
6343,Berlin,1936,Aquatics,Swimming,"VAN DE WEGHE, Albert",USA,Men,100m backstroke,M,Silver
6344,Berlin,1936,Aquatics,Swimming,"BRIDGES, Alice W.",USA,Women,100m backstroke,W,Bronze
6345,Berlin,1936,Aquatics,Swimming,"SENFF, Dina Willemina Jacoba",NED,Women,100m backstroke,W,Gold
6346,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m backstroke,W,Silver
6347,Berlin,1936,Aquatics,Swimming,"ARAI, Shigeo",JPN,Men,100m freestyle,M,Bronze
6348,Berlin,1936,Aquatics,Swimming,"CSIK, Ferenc",HUN,Men,100m freestyle,M,Gold
6349,Berlin,1936,Aquatics,Swimming,"YUSA, Masanori",JPN,Men,100m freestyle,M,Silver
6350,Berlin,1936,Aquatics,Swimming,"ARENDT-JACOBS, Gisela",GER,Women,100m freestyle,W,Bronze
6351,Berlin,1936,Aquatics,Swimming,"MASTENBROEK, Hendrika",NED,Women,100m freestyle,W,Gold
6352,Berlin,1936,Aquatics,Swimming,"CAMPBELL, Jeanette Morven",ARG,Women,100m freestyle,W,Silver
6353,Berlin,1936,Aquatics,Swimming,"UTO, Shunpei",JPN,Men,1500m freestyle,M,Bronze
6354,Berlin,1936,Aquatics,Swimming,"TERADA, Noboru",JPN,Men,1500m freestyle,M,Gold
6355,Berlin,1936,Aquatics,Swimming,"MEDICA, Jack C.",USA,Men,1500m freestyle,M,Silver
6356,Berlin,1936,Aquatics,Swimming,"KOIKE, Reizo",JPN,Men,200m breaststroke,M,Bronze
