,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
5714,Los Angeles,1932,Aquatics,Diving,"KURTZ, Frank Allen",USA,Men,10m platform,M,Bronze
5715,Los Angeles,1932,Aquatics,Diving,"SMITH, Harold Edwin",USA,Men,10m platform,M,Gold
5716,Los Angeles,1932,Aquatics,Diving,"GALITZEN, Michael Riley",USA,Men,10m platform,M,Silver
5717,Los Angeles,1932,Aquatics,Diving,"ROPER, Marion Dale",USA,Women,10m platform,W,Bronze
5718,Los Angeles,1932,Aquatics,Diving,"POYNTON-HILL, Dorothy",USA,Women,10m platform,W,Gold
5719,Los Angeles,1932,Aquatics,Diving,"COLEMAN, Georgia V.",USA,Women,10m platform,W,Silver
5720,Los Angeles,1932,Aquatics,Diving,"DEGENER, Richard Kempster",USA,Men,3m springboard,M,Bronze
5721,Los Angeles,1932,Aquatics,Diving,"GALITZEN, Michael Riley",USA,Men,3m springboard,M,Gold
5722,Los Angeles,1932,Aquatics,Diving,"SMITH, Harold Edwin",USA,Men,3m springboard,M,Silver
5723,Los Angeles,1932,Aquatics,Diving,"FAUNTZ, Jane",USA,Women,3m springboard,W,Bronze
5724,Los Angeles,1932,Aquatics,Diving,"COLEMAN, Georgia V.",USA,Women,3m springboard,W,Gold
5725,Los Angeles,1932,Aquatics,Diving,"RAWLS, Katherine Louise",USA,Women,3m springboard,W,Silver
5726,Los Angeles,1932,Aquatics,Swimming,"KAWATSU, Kentaro",JPN,Men,100m backstroke,M,Bronze
5727,Los Angeles,1932,Aquatics,Swimming,"KIYOKAWA, Masaji",JPN,Men,100m backstroke,M,Gold
5728,Los Angeles,1932,Aquatics,Swimming,"IRIYE, Toshio",JPN,Men,100m backstroke,M,Silver
5729,Los Angeles,1932,Aquatics,Swimming,"DAVIES, Elizabeth Valerie",GBR,Women,100m backstroke,W,Bronze
5730,Los Angeles,1932,Aquatics,Swimming,"HOLM, Eleanor",USA,Women,100m backstroke,W,Gold
5731,Los Angeles,1932,Aquatics,Swimming,"MEALING, Philomenia Alecia",AUS,Women,100m backstroke,W,Silver
5732,Los Angeles,1932,Aquatics,Swimming,"SCHWARTZ, Albert",USA,Men,100m freestyle,M,Bronze
5733,Los Angeles,1932,Aquatics,Swimming,"MIOYAZAKI, Yasuji",JPN,Men,100m freestyle,M,Gold
5734,Los Angeles,1932,Aquatics,Swimming,"KAWAISHI, Tatsugo",JPN,Men,100m freestyle,M,Silver
