,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
10674,Tokyo,1964,Aquatics,Diving,"GOMPF, Thomas Eugen",USA,Men,10m platform,M,Bronze
10675,Tokyo,1964,Aquatics,Diving,"WEBSTER, Robert David",USA,Men,10m platform,M,Gold
10676,Tokyo,1964,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Silver
10677,Tokyo,1964,Aquatics,Diving,"ALEKSEEVA, Galina",URS,Women,10m platform,W,Bronze
10678,Tokyo,1964,Aquatics,Diving,"BUSH, Lesley Leigh",USA,Women,10m platform,W,Gold
10679,Tokyo,1964,Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,10m platform,W,Silver
10680,Tokyo,1964,Aquatics,Diving,"ANDREASEN, Lawrence Edwin",USA,Men,3m springboard,M,Bronze
10681,Tokyo,1964,Aquatics,Diving,"SITZBERGER, Kenneth Robert",USA,Men,3m springboard,M,Gold
10682,Tokyo,1964,Aquatics,Diving,"GORMAN, Francis Xavier",USA,Men,3m springboard,M,Silver
10683,Tokyo,1964,Aquatics,Diving,"WILLARD, Mary Patricia",USA,Women,3m springboard,W,Bronze
10684,Tokyo,1964,Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,3m springboard,W,Gold
10685,Tokyo,1964,Aquatics,Diving,"COLLIER, Jeanne Ellen",USA,Women,3m springboard,W,Silver
10686,Tokyo,1964,Aquatics,Swimming,"DUENKEL, Virginia Ruth",USA,Women,100m backstroke,W,Bronze
10687,Tokyo,1964,Aquatics,Swimming,"FERGUSON, Kathleen Jean",USA,Women,100m backstroke,W,Gold
10688,Tokyo,1964,Aquatics,Swimming,"CARON, Christine (Kiki)",FRA,Women,100m backstroke,W,Silver
10689,Tokyo,1964,Aquatics,Swimming,"ELLIS, Kathleen",USA,Women,100m butterfly,W,Bronze
10690,Tokyo,1964,Aquatics,Swimming,"STOUDER, Sharon Marie",USA,Women,100m butterfly,W,Gold
10691,Tokyo,1964,Aquatics,Swimming,"KOK, Aagje Ada",NED,Women,100m butterfly,W,Silver
10692,Tokyo,1964,Aquatics,Swimming,"KLEIN, Hans-Joachim",EUA,Men,100m freestyle,M,Bronze
