,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
12715,Munich,1972,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,10m platform,M,Bronze
12716,Munich,1972,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
12717,Munich,1972,Aquatics,Diving,"RYDZE, Richard Anthony",USA,Men,10m platform,M,Silver
12718,Munich,1972,Aquatics,Diving,"JANICKE, Marina",GDR,Women,10m platform,W,Bronze
12719,Munich,1972,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,10m platform,W,Gold
12720,Munich,1972,Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10m platform,W,Silver
12721,Munich,1972,Aquatics,Diving,"LINCOLN, Craig Howard",USA,Men,3m springboard,M,Bronze
12722,Munich,1972,Aquatics,Diving,"VASIN, Vladimir",URS,Men,3m springboard,M,Gold
12723,Munich,1972,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Silver
12724,Munich,1972,Aquatics,Diving,"JANICKE, Marina",GDR,Women,3m springboard,W,Bronze
12725,Munich,1972,Aquatics,Diving,"KING, Maxine Joyce",USA,Women,3m springboard,W,Gold
12726,Munich,1972,Aquatics,Diving,"KNAPE-LINDBERGH, Ulrika",SWE,Women,3m springboard,W,Silver
12727,Munich,1972,Aquatics,Swimming,"MURPHY, John Joseph",USA,Men,100m backstroke,M,Bronze
12728,Munich,1972,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Gold
12729,Munich,1972,Aquatics,Swimming,"STAMM, Michael Eugene",USA,Men,100m backstroke,M,Silver
12730,Munich,1972,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,100m backstroke,W,Bronze
12731,Munich,1972,Aquatics,Swimming,"BELOTE, Melissa Louise",USA,Women,100m backstroke,W,Gold
12732,Munich,1972,Aquatics,Swimming,"GYARMATI, Andrea",HUN,Women,100m backstroke,W,Silver
12733,Munich,1972,Aquatics,Swimming,"HENCKEN, John Frederick",USA,Men,100m breaststroke,M,Bronze
