,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
9792,Rome,1960,Aquatics,Diving,"PHELPS, Brian Eric",GBR,Men,10m platform,M,Bronze
9793,Rome,1960,Aquatics,Diving,"WEBSTER, Robert David",USA,Men,10m platform,M,Gold
9794,Rome,1960,Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,10m platform,M,Silver
9795,Rome,1960,Aquatics,Diving,"KRUTOVA, Ninel",URS,Women,10m platform,W,Bronze
9796,Rome,1960,Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,10m platform,W,Gold
9797,Rome,1960,Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10m platform,W,Silver
9798,Rome,1960,Aquatics,Diving,"BOTELLA MEDINA, Juan",MEX,Men,3m springboard,M,Bronze
9799,Rome,1960,Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,3m springboard,M,Gold
9800,Rome,1960,Aquatics,Diving,"HALL, Samuel Nesley",USA,Men,3m springboard,M,Silver
9801,Rome,1960,Aquatics,Diving,"FERRIS, Elizabeth Anne E.",GBR,Women,3m springboard,W,Bronze
9802,Rome,1960,Aquatics,Diving,"KRÄMER-ENGEL-GULBIN, Ingrid",EUA,Women,3m springboard,W,Gold
9803,Rome,1960,Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,3m springboard,W,Silver
9804,Rome,1960,Aquatics,Swimming,"BENNETT, Robert Earl",USA,Men,100m backstroke,M,Bronze
9805,Rome,1960,Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100m backstroke,M,Gold
9806,Rome,1960,Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100m backstroke,M,Silver
9807,Rome,1960,Aquatics,Swimming,"TANAKA, Satoko",JPN,Women,100m backstroke,W,Bronze
9808,Rome,1960,Aquatics,Swimming,"BURKE, Lynn Edythe",USA,Women,100m backstroke,W,Gold
9809,Rome,1960,Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m backstroke,W,Silver
9810,Rome,1960,Aquatics,Swimming,"ANDREW, Janice",AUS,Women,100m butterfly,W,Bronze
9811,Rome,1960,Aquatics,Swimming,"SCHULER, Carolyn Jane",USA,Women,100m butterfly,W,Gold
9812,Rome,1960,Aquatics,Swimming,"HEEMSKERK, Marianne Yvonne",NED,Women,100m butterfly,W,Silver
9813,Rome,1960,Aquatics,Swimming,"DOS SANTOS, Manoel",BRA,Men,100m freestyle,M,Bronze
9814,Rome,1960,Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Gold
9815,Rome,1960,Aquatics,Swimming,"LARSON, Lance Melvin",USA,Men,100m freestyle,M,Silver
9816,Rome,1960,Aquatics,Swimming,"STEWARD, Natalie Alwyne",GBR,Women,100m freestyle,W,Bronze
9817,Rome,1960,Aquatics,Swimming,"FRASER, Dawn",AUS,Women,100m freestyle,W,Gold
9818,Rome,1960,Aquatics,Swimming,"VON SALTZA, Susan Christina",USA,Women,100m freestyle,W,Silver
9819,Rome,1960,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,1500m freestyle,M,Bronze
9820,Rome,1960,Aquatics,Swimming,"KONRADS, John (Jon)",AUS,Men,1500m freestyle,M,Gold
9821,Rome,1960,Aquatics,Swimming,"ROSE, Murray",AUS,Men,1500m freestyle,M,Silver
9822,Rome,1960,Aquatics,Swimming,"MENSONIDES, Wieger Emile",NED,Men,200m breaststroke,M,Bronze
9823,Rome,1960,Aquatics,Swimming,"MULLIKEN, William Danforth",USA,Men,200m breaststroke,M,Gold
9824,Rome,1960,Aquatics,Swimming,"OSAKI, Yoshihiko",JPN,Men,200m breaststroke,M,Silver
