,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
18051,Seoul,1988,Aquatics,Diving,"MENA CAMPOS, Jesus",MEX,Men,10m platform,M,Bronze
18052,Seoul,1988,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10m platform,M,Gold
18053,Seoul,1988,Aquatics,Diving,"XIONG, Ni",CHN,Men,10m platform,M,Silver
18054,Seoul,1988,Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10m platform,W,Bronze
18055,Seoul,1988,Aquatics,Diving,"XU, Yan-Mei",CHN,Women,10m platform,W,Gold
18056,Seoul,1988,Aquatics,Diving,"MITCHELL, Michele",USA,Women,10m platform,W,Silver
18057,Seoul,1988,Aquatics,Diving,"LI, De-Liang",CHN,Men,3m springboard,M,Bronze
18058,Seoul,1988,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3m springboard,M,Gold
18059,Seoul,1988,Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
18060,Seoul,1988,Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3m springboard,W,Bronze
18061,Seoul,1988,Aquatics,Diving,"GAO, Min",CHN,Women,3m springboard,W,Gold
18062,Seoul,1988,Aquatics,Diving,"LI, Qing",CHN,Women,3m springboard,W,Silver
18063,Seoul,1988,Aquatics,Swimming,"POLYANSKI, Igor",URS,Men,100m backstroke,M,Bronze
18064,Seoul,1988,Aquatics,Swimming,"SUZUKI, Daichi",JPN,Men,100m backstroke,M,Gold
18065,Seoul,1988,Aquatics,Swimming,"BERKOFF, David Charles",USA,Men,100m backstroke,M,Silver
18066,Seoul,1988,Aquatics,Swimming,"SIRCH, Cornelia",GDR,Women,100m backstroke,W,Bronze
18067,Seoul,1988,Aquatics,Swimming,"OTTO, Kristin",GDR,Women,100m backstroke,W,Gold
18068,Seoul,1988,Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,100m backstroke,W,Silver
18069,Seoul,1988,Aquatics,Swimming,"VOLKOV, Dmitri",URS,Men,100m breaststroke,M,Bronze
18070,Seoul,1988,Aquatics,Swimming,"MOORHOUSE, Adrian David",GBR,Men,100m breaststroke,M,Gold
18071,Seoul,1988,Aquatics,Swimming,"GUTTLER, Karoly",HUN,Men,100m breaststroke,M,Silver
18072,Seoul,1988,Aquatics,Swimming,"HÖRNER, Silke",GDR,Women,100m breaststroke,W,Bronze
