,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
21302,Atlanta,1996,Aquatics,Diving,"XIAO, Hailiang",CHN,Men,10m platform,M,Bronze
21303,Atlanta,1996,Aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,10m platform,M,Gold
21304,Atlanta,1996,Aquatics,Diving,"HEMPEL, Jan",GER,Men,10m platform,M,Silver
21305,Atlanta,1996,Aquatics,Diving,"CLARK, Mary Ellen",USA,Women,10m platform,W,Bronze
21306,Atlanta,1996,Aquatics,Diving,"FU, Mingxia",CHN,Women,10m platform,W,Gold
21307,Atlanta,1996,Aquatics,Diving,"WALTER, Annika",GER,Women,10m platform,W,Silver
21308,Atlanta,1996,Aquatics,Diving,"LENZI, Mark Edward",USA,Men,3m springboard,M,Bronze
21309,Atlanta,1996,Aquatics,Diving,"XIONG, Ni",CHN,Men,3m springboard,M,Gold
21310,Atlanta,1996,Aquatics,Diving,"YU, Zhuocheng",CHN,Men,3m springboard,M,Silver
21311,Atlanta,1996,Aquatics,Diving,"PELLETIER, Annie",CAN,Women,3m springboard,W,Bronze
21312,Atlanta,1996,Aquatics,Diving,"FU, Mingxia",CHN,Women,3m springboard,W,Gold
21313,Atlanta,1996,Aquatics,Diving,"LASHKO, Irina",RUS,Women,3m springboard,W,Silver
21314,Atlanta,1996,Aquatics,Swimming,"BENT, Neisser",CUB,Men,100m backstroke,M,Bronze
21315,Atlanta,1996,Aquatics,Swimming,"ROUSE, Jeff Norman",USA,Men,100m backstroke,M,Gold
21316,Atlanta,1996,Aquatics,Swimming,"FALCON CABRERA, Rodolfo",CUB,Men,100m backstroke,M,Silver
21317,Atlanta,1996,Aquatics,Swimming,"KRIEL, Marianne",RSA,Women,100m backstroke,W,Bronze
21318,Atlanta,1996,Aquatics,Swimming,"BOTSFORD, Beth",USA,Women,100m backstroke,W,Gold
21319,Atlanta,1996,Aquatics,Swimming,"HEDGEPETH, Whitney L.",USA,Women,100m backstroke,W,Silver
21320,Atlanta,1996,Aquatics,Swimming,"WARNECKE, Mark",GER,Men,100m breaststroke,M,Bronze
21321,Atlanta,1996,Aquatics,Swimming,"DEBURGHGRAEVE, Frederik",BEL,Men,100m breaststroke,M,Gold
21322,Atlanta,1996,Aquatics,Swimming,"LINN, Jeremy",USA,Men,100m breaststroke,M,Silver
21323,Atlanta,1996,Aquatics,Swimming,"RILEY, Samantha Linette",AUS,Women,100m breaststroke,W,Bronze
21324,Atlanta,1996,Aquatics,Swimming,"HEYNS, Penelope",RSA,Women,100m breaststroke,W,Gold
21325,Atlanta,1996,Aquatics,Swimming,"BEARD, Amanda",USA,Women,100m breaststroke,W,Silver
21326,Atlanta,1996,Aquatics,Swimming,"KULIKOV, Vladislav",RUS,Men,100m butterfly,M,Bronze
21327,Atlanta,1996,Aquatics,Swimming,"PANKRATOV, Denis",RUS,Men,100m butterfly,M,Gold
21328,Atlanta,1996,Aquatics,Swimming,"MILLER, Scott",AUS,Men,100m butterfly,M,Silver
21329,Atlanta,1996,Aquatics,Swimming,"MARTINO, Angel",USA,Women,100m butterfly,W,Bronze
21330,Atlanta,1996,Aquatics,Swimming,"VAN DYKEN, Amy",USA,Women,100m butterfly,W,Gold
21331,Atlanta,1996,Aquatics,Swimming,"LIU, Limin",CHN,Women,100m butterfly,W,Silver
21332,Atlanta,1996,Aquatics,Swimming,"BORGES, Gustavo",BRA,Men,100m freestyle,M,Bronze
