,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
11684,Mexico,1968,Aquatics,Diving,"YOUNG, Edwin Frank",USA,Men,10m platform,M,Bronze
11685,Mexico,1968,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,10m platform,M,Gold
11686,Mexico,1968,Aquatics,Diving,"GAXIOLA ROBLES, Alvaro",MEX,Men,10m platform,M,Silver
11687,Mexico,1968,Aquatics,Diving,"PETERSON, Ann Stewart",USA,Women,10m platform,W,Bronze
11688,Mexico,1968,Aquatics,Diving,"DUCHKOVA, Milena",TCH,Women,10m platform,W,Gold
11689,Mexico,1968,Aquatics,Diving,"KUZNETSOVA-LOBANOVA, Natalya",URS,Women,10m platform,W,Silver
11690,Mexico,1968,Aquatics,Diving,"HENRY, James Edward",USA,Men,3m springboard,M,Bronze
11691,Mexico,1968,Aquatics,Diving,"WRIGHTSON, Bernard Charles",USA,Men,3m springboard,M,Gold
11692,Mexico,1968,Aquatics,Diving,"DIBIASI, Klaus",ITA,Men,3m springboard,M,Silver
11693,Mexico,1968,Aquatics,Diving,"O'SULLIVAN, Keala",USA,Women,3m springboard,W,Bronze
11694,Mexico,1968,Aquatics,Diving,"GOSSICK, Susanne",USA,Women,3m springboard,W,Gold
11695,Mexico,1968,Aquatics,Diving,"FEDOSOVA-POGOZHEVA, Tamara",URS,Women,3m springboard,W,Silver
11696,Mexico,1968,Aquatics,Swimming,"MILLS, Ronald P.",USA,Men,100m backstroke,M,Bronze
11697,Mexico,1968,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,100m backstroke,M,Gold
11698,Mexico,1968,Aquatics,Swimming,"HICKCOX, Charles Buchanan",USA,Men,100m backstroke,M,Silver
11699,Mexico,1968,Aquatics,Swimming,"SWAGERTY, Jane Ellen",USA,Women,100m backstroke,W,Bronze
11700,Mexico,1968,Aquatics,Swimming,"HALL, Kaye Marie",USA,Women,100m backstroke,W,Gold
11701,Mexico,1968,Aquatics,Swimming,"TANNER, Elaine",CAN,Women,100m backstroke,W,Silver
11702,Mexico,1968,Aquatics,Swimming,"PANKIN, Nikolai",URS,Men,100m breaststroke,M,Bronze
11703,Mexico,1968,Aquatics,Swimming,"MCKENZIE, Donald Ward Jr.",USA,Men,100m breaststroke,M,Gold
11704,Mexico,1968,Aquatics,Swimming,"KOSINSKY, Vladimir",URS,Men,100m breaststroke,M,Silver
11705,Mexico,1968,Aquatics,Swimming,"WICHMAN, Sharon Lynn",USA,Women,100m breaststroke,W,Bronze
11706,Mexico,1968,Aquatics,Swimming,"BJEDOV, Djurdjica",YUG,Women,100m breaststroke,W,Gold
11707,Mexico,1968,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,100m breaststroke,W,Silver
11708,Mexico,1968,Aquatics,Swimming,"WALES, Ross Elliott",USA,Men,100m butterfly,M,Bronze
11709,Mexico,1968,Aquatics,Swimming,"RUSSELL, Douglas Albert",USA,Men,100m butterfly,M,Gold
11710,Mexico,1968,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m butterfly,M,Silver
11711,Mexico,1968,Aquatics,Swimming,"SHIELDS, Susanne Marie",USA,Women,100m butterfly,W,Bronze
11712,Mexico,1968,Aquatics,Swimming,"MCCLEMENTS, Lynette",AUS,Women,100m butterfly,W,Gold
11713,Mexico,1968,Aquatics,Swimming,"DANIEL, Eleanor Suzanne",USA,Women,100m butterfly,W,Silver
11714,Mexico,1968,Aquatics,Swimming,"SPITZ, Mark",USA,Men,100m freestyle,M,Bronze
11715,Mexico,1968,Aquatics,Swimming,"WENDEN, Michael Vincent",AUS,Men,100m freestyle,M,Gold
11716,Mexico,1968,Aquatics,Swimming,"WALSH, Kenneth Marshall",USA,Men,100m freestyle,M,Silver
11717,Mexico,1968,Aquatics,Swimming,"GUSTAVSON, Linda Lee",USA,Women,100m freestyle,W,Bronze
11718,Mexico,1968,Aquatics,Swimming,"HENNE, Jane Margo",USA,Women,100m freestyle,W,Gold
11719,Mexico,1968,Aquatics,Swimming,"PEDERSEN, Susan Jane",USA,Women,100m freestyle,W,Silver
11720,Mexico,1968,Aquatics,Swimming,"BROUGH, Gregory",AUS,Men,1500m freestyle,M,Bronze
11721,Mexico,1968,Aquatics,Swimming,"BURTON, Michael Jay",USA,Men,1500m freestyle,M,Gold
11722,Mexico,1968,Aquatics,Swimming,"KINSELLA, John Pitann",USA,Men,1500m freestyle,M,Silver
11723,Mexico,1968,Aquatics,Swimming,"HORSLEY, Jack S.",USA,Men,200m backstroke,M,Bronze
11724,Mexico,1968,Aquatics,Swimming,"MATTHES, Roland",GDR,Men,200m backstroke,M,Gold
11725,Mexico,1968,Aquatics,Swimming,"IVEY, Mitchell",USA,Men,200m backstroke,M,Silver
11726,Mexico,1968,Aquatics,Swimming,"HALL, Kaye Marie",USA,Women,200m backstroke,W,Bronze
11727,Mexico,1968,Aquatics,Swimming,"WATSON, Lillian Debra",USA,Women,200m backstroke,W,Gold
11728,Mexico,1968,Aquatics,Swimming,"TANNER, Elaine",CAN,Women,200m backstroke,W,Silver
11729,Mexico,1968,Aquatics,Swimming,"JOB, Brian Gregory",USA,Men,200m breaststroke,M,Bronze
11730,Mexico,1968,Aquatics,Swimming,"MUNOZ, Felipe",MEX,Men,200m breaststroke,M,Gold
11731,Mexico,1968,Aquatics,Swimming,"KOSINSKY, Vladimir",URS,Men,200m breaststroke,M,Silver
11732,Mexico,1968,Aquatics,Swimming,"PROZUMENSCHIKOVA-STEPANOVA, Galina",URS,Women,200m breaststroke,W,Bronze
11733,Mexico,1968,Aquatics,Swimming,"WICHMAN, Sharon Lynn",USA,Women,200m breaststroke,W,Gold
11734,Mexico,1968,Aquatics,Swimming,"BJEDOV, Djurdjica",YUG,Women,200m breaststroke,W,Silver
11735,Mexico,1968,Aquatics,Swimming,"FERRIS, John Edward",USA,Men,200m butterfly,M,Bronze
11736,Mexico,1968,Aquatics,Swimming,"ROBIE, Carl Joseph III",USA,Men,200m butterfly,M,Gold
11737,Mexico,1968,Aquatics,Swimming,"WOODROFFE, Martyn John",GBR,Men,200m butterfly,M,Silver
11738,Mexico,1968,Aquatics,Swimming,"DANIEL, Eleanor Suzanne",USA,Women,200m butterfly,W,Bronze
11739,Mexico,1968,Aquatics,Swimming,"KOK, Aagje Ada",NED,Women,200m butterfly,W,Gold
11740,Mexico,1968,Aquatics,Swimming,"LINDNER, Helga",GDR,Women,200m butterfly,W,Silver
11741,Mexico,1968,Aquatics,Swimming,"NELSON, John Mauer",USA,Men,200m freestyle,M,Bronze
11742,Mexico,1968,Aquatics,Swimming,"WENDEN, Michael Vincent",AUS,Men,200m freestyle,M,Gold
11743,Mexico,1968,Aquatics,Swimming,"SCHOLLANDER, Donald Arthur",USA,Men,200m freestyle,M,Silver
11744,Mexico,1968,Aquatics,Swimming,"BARKMAN, Jane Louise",USA,Women,200m freestyle,W,Bronze
11745,Mexico,1968,Aquatics,Swimming,"MEYER, Deborah",USA,Women,200m freestyle,W,Gold
11746,Mexico,1968,Aquatics,Swimming,"HENNE, Jane Margo",USA,Women,200m freestyle,W,Silver
11747,Mexico,1968,Aquatics,Swimming,"FERRIS, John Edward",USA,Men,200m individual medley,M,Bronze
11748,Mexico,1968,Aquatics,Swimming,"HICKCOX, Charles Buchanan",USA,Men,200m individual medley,M,Gold
11749,Mexico,1968,Aquatics,Swimming,"BUCKINGHAM, Gregory F.",USA,Men,200m individual medley,M,Silver
11750,Mexico,1968,Aquatics,Swimming,"HENNE, Jane Margo",USA,Women,200m individual medley,W,Bronze
11751,Mexico,1968,Aquatics,Swimming,"KOLB, Claudia Anne",USA,Women,200m individual medley,W,Gold
11752,Mexico,1968,Aquatics,Swimming,"PEDERSEN, Susan Jane",USA,Women,200m individual medley,W,Silver
11753,Mexico,1968,Aquatics,Swimming,"MOSCONI, Alain",FRA,Men,400m freestyle,M,Bronze
11754,Mexico,1968,Aquatics,Swimming,"BURTON, Michael Jay",USA,Men,400m freestyle,M,Gold
11755,Mexico,1968,Aquatics,Swimming,"HUTTON, Ralph",CAN,Men,400m freestyle,M,Silver
11756,Mexico,1968,Aquatics,Swimming,"MORAS, Karen Lynne",AUS,Women,400m freestyle,W,Bronze
11757,Mexico,1968,Aquatics,Swimming,"MEYER, Deborah",USA,Women,400m freestyle,W,Gold
11758,Mexico,1968,Aquatics,Swimming,"GUSTAVSON, Linda Lee",USA,Women,400m freestyle,W,Silver
11759,Mexico,1968,Aquatics,Swimming,"HOLTHAUS, Michael",FRG,Men,400m individual medley,M,Bronze
11760,Mexico,1968,Aquatics,Swimming,"HICKCOX, Charles Buchanan",USA,Men,400m individual medley,M,Gold
11761,Mexico,1968,Aquatics,Swimming,"HALL, Gary Wayne",USA,Men,400m individual medley,M,Silver
11762,Mexico,1968,Aquatics,Swimming,"STEINBACH, Sabine",GDR,Women,400m individual medley,W,Bronze
11763,Mexico,1968,Aquatics,Swimming,"KOLB, Claudia Anne",USA,Women,400m individual medley,W,Gold
