,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
19597,Barcelona,1992,Aquatics,Diving,"XIONG, Ni",CHN,Men,10m platform,M,Bronze
19598,Barcelona,1992,Aquatics,Diving,"SUN, Shuwei",CHN,Men,10m platform,M,Gold
19599,Barcelona,1992,Aquatics,Diving,"DONIE, Scott R.",USA,Men,10m platform,M,Silver
19600,Barcelona,1992,Aquatics,Diving,"CLARK, Mary Ellen",USA,Women,10m platform,W,Bronze
19601,Barcelona,1992,Aquatics,Diving,"FU, Mingxia",CHN,Women,10m platform,W,Gold
19602,Barcelona,1992,Aquatics,Diving,"MIROCHINA, Elena",EUN,Women,10m platform,W,Silver
19603,Barcelona,1992,Aquatics,Diving,"SAUTIN, Dmitry",EUN,Men,3m springboard,M,Bronze
19604,Barcelona,1992,Aquatics,Diving,"LENZI, Mark Edward",USA,Men,3m springboard,M,Gold
19605,Barcelona,1992,Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
19606,Barcelona,1992,Aquatics,Diving,"BALDUS, Brita Pia",GER,Women,3m springboard,W,Bronze
19607,Barcelona,1992,Aquatics,Diving,"GAO, Min",CHN,Women,3m springboard,W,Gold
19608,Barcelona,1992,Aquatics,Diving,"LACHKO, Irina",EUN,Women,3m springboard,W,Silver
19609,Barcelona,1992,Aquatics,Swimming,"BERKOFF, David Charles",USA,Men,100m backstroke,M,Bronze
19610,Barcelona,1992,Aquatics,Swimming,"TEWKSBURY, Mark",CAN,Men,100m backstroke,M,Gold
19611,Barcelona,1992,Aquatics,Swimming,"ROUSE, Jeff Norman",USA,Men,100m backstroke,M,Silver
19612,Barcelona,1992,Aquatics,Swimming,"LOVELESS, Lea",USA,Women,100m backstroke,W,Bronze
19613,Barcelona,1992,Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,100m backstroke,W,Gold
19614,Barcelona,1992,Aquatics,Swimming,"SZABO, Tunde",HUN,Women,100m backstroke,W,Silver
19615,Barcelona,1992,Aquatics,Swimming,"ROGERS, Philip John",AUS,Men,100m breaststroke,M,Bronze
19616,Barcelona,1992,Aquatics,Swimming,"DIEBEL, Nelson",USA,Men,100m breaststroke,M,Gold
19617,Barcelona,1992,Aquatics,Swimming,"ROZSA, Norbert",HUN,Men,100m breaststroke,M,Silver
19618,Barcelona,1992,Aquatics,Swimming,"RILEY, Samantha Linette",AUS,Women,100m breaststroke,W,Bronze
19619,Barcelona,1992,Aquatics,Swimming,"RUDKOVSKAYA, Elena",EUN,Women,100m breaststroke,W,Gold
19620,Barcelona,1992,Aquatics,Swimming,"NALL, Anita",USA,Women,100m breaststroke,W,Silver
19621,Barcelona,1992,Aquatics,Swimming,"NESTY, Anthony Conrad",SUR,Men,100m butterfly,M,Bronze
19622,Barcelona,1992,Aquatics,Swimming,"MORALES, Pablo",USA,Men,100m butterfly,M,Gold
19623,Barcelona,1992,Aquatics,Swimming,"SZUKALA, Rafal",POL,Men,100m butterfly,M,Silver
19624,Barcelona,1992,Aquatics,Swimming,"PLEWINSKI, Catherine",FRA,Women,100m butterfly,W,Bronze
19625,Barcelona,1992,Aquatics,Swimming,"QIAN, Hong",CHN,Women,100m butterfly,W,Gold
19626,Barcelona,1992,Aquatics,Swimming,"AHMANN-LEIGHTON, Christine",USA,Women,100m butterfly,W,Silver
19627,Barcelona,1992,Aquatics,Swimming,"CARON, Stephan",FRA,Men,100m freestyle,M,Bronze
19628,Barcelona,1992,Aquatics,Swimming,"POPOV, Alexander",EUN,Men,100m freestyle,M,Gold
19629,Barcelona,1992,Aquatics,Swimming,"BORGES, Gustavo",BRA,Men,100m freestyle,M,Silver
19630,Barcelona,1992,Aquatics,Swimming,"VAN ALMSICK, Franziska",GER,Women,100m freestyle,W,Bronze
19631,Barcelona,1992,Aquatics,Swimming,"ZHUANG, Yong",CHN,Women,100m freestyle,W,Gold
19632,Barcelona,1992,Aquatics,Swimming,"THOMPSON, Jenny",USA,Women,100m freestyle,W,Silver
19633,Barcelona,1992,Aquatics,Swimming,"HOFFMANN, Jörg",GER,Men,1500m freestyle,M,Bronze
19634,Barcelona,1992,Aquatics,Swimming,"PERKINS, Kieren John",AUS,Men,1500m freestyle,M,Gold
19635,Barcelona,1992,Aquatics,Swimming,"HOUSMAN, Glen Clifford",AUS,Men,1500m freestyle,M,Silver
19636,Barcelona,1992,Aquatics,Swimming,"BATTISTELLI, Stefano",ITA,Men,200m backstroke,M,Bronze
19637,Barcelona,1992,Aquatics,Swimming,"LOPEZ-ZUBERO, Martin",ESP,Men,200m backstroke,M,Gold
19638,Barcelona,1992,Aquatics,Swimming,"SELKOV, Vladimir",EUN,Men,200m backstroke,M,Silver
19639,Barcelona,1992,Aquatics,Swimming,"STEVENSON, Nicole Dawn",AUS,Women,200m backstroke,W,Bronze
19640,Barcelona,1992,Aquatics,Swimming,"EGERSZEGI, Krisztina",HUN,Women,200m backstroke,W,Gold
19641,Barcelona,1992,Aquatics,Swimming,"HASE, Dagmar",GER,Women,200m backstroke,W,Silver
19642,Barcelona,1992,Aquatics,Swimming,"GILLINGHAM, Nick",GBR,Men,200m breaststroke,M,Bronze
19643,Barcelona,1992,Aquatics,Swimming,"BARROWMAN, Mike",USA,Men,200m breaststroke,M,Gold
19644,Barcelona,1992,Aquatics,Swimming,"ROZSA, Norbert",HUN,Men,200m breaststroke,M,Silver
19645,Barcelona,1992,Aquatics,Swimming,"NALL, Anita",USA,Women,200m breaststroke,W,Bronze
19646,Barcelona,1992,Aquatics,Swimming,"IWASAKI, Kyoko",JPN,Women,200m breaststroke,W,Gold
19647,Barcelona,1992,Aquatics,Swimming,"LIN, Li",CHN,Women,200m breaststroke,W,Silver
19648,Barcelona,1992,Aquatics,Swimming,"ESPOSITO, Franck",FRA,Men,200m butterfly,M,Bronze
19649,Barcelona,1992,Aquatics,Swimming,"STEWART, Melvin",USA,Men,200m butterfly,M,Gold
19650,Barcelona,1992,Aquatics,Swimming,"LOADER, Danyon Joseph",NZL,Men,200m butterfly,M,Silver
19651,Barcelona,1992,Aquatics,Swimming,"O'NEILL, Susan",AUS,Women,200m butterfly,W,Bronze
19652,Barcelona,1992,Aquatics,Swimming,"SANDERS, Summer",USA,Women,200m butterfly,W,Gold
19653,Barcelona,1992,Aquatics,Swimming,"WANG, Xiaohong",CHN,Women,200m butterfly,W,Silver
19654,Barcelona,1992,Aquatics,Swimming,"KASVIO, Antti Alexander",FIN,Men,200m freestyle,M,Bronze
19655,Barcelona,1992,Aquatics,Swimming,"SADOVYI, Evgueni",EUN,Men,200m freestyle,M,Gold
19656,Barcelona,1992,Aquatics,Swimming,"HOLMERTZ, Anders",SWE,Men,200m freestyle,M,Silver
19657,Barcelona,1992,Aquatics,Swimming,"KIELGASS, Kerstin",GER,Women,200m freestyle,W,Bronze
19658,Barcelona,1992,Aquatics,Swimming,"HAISLETT, Nicole Lee",USA,Women,200m freestyle,W,Gold
19659,Barcelona,1992,Aquatics,Swimming,"VAN ALMSICK, Franziska",GER,Women,200m freestyle,W,Silver
19660,Barcelona,1992,Aquatics,Swimming,"CZENE, Attila",HUN,Men,200m individual medley,M,Bronze
19661,Barcelona,1992,Aquatics,Swimming,"DARNYI, Tamas",HUN,Men,200m individual medley,M,Gold
19662,Barcelona,1992,Aquatics,Swimming,"BURGESS, Gregory",USA,Men,200m individual medley,M,Silver
19663,Barcelona,1992,Aquatics,Swimming,"HUNGER, Daniela",GER,Women,200m individual medley,W,Bronze
19664,Barcelona,1992,Aquatics,Swimming,"LIN, Li",CHN,Women,200m individual medley,W,Gold
19665,Barcelona,1992,Aquatics,Swimming,"SANDERS, Summer",USA,Women,200m individual medley,W,Silver
19666,Barcelona,1992,Aquatics,Swimming,"HOLMERTZ, Anders",SWE,Men,400m freestyle,M,Bronze
19667,Barcelona,1992,Aquatics,Swimming,"SADOVYI, Evgueni",EUN,Men,400m freestyle,M,Gold
19668,Barcelona,1992,Aquatics,Swimming,"PERKINS, Kieren John",AUS,Men,400m freestyle,M,Silver
19669,Barcelona,1992,Aquatics,Swimming,"LEWIS, Hayley Jane",AUS,Women,400m freestyle,W,Bronze
19670,Barcelona,1992,Aquatics,Swimming,"HASE, Dagmar",GER,Women,400m freestyle,W,Gold
19671,Barcelona,1992,Aquatics,Swimming,"EVANS, Janet",USA,Women,400m freestyle,W,Silver
19672,Barcelona,1992,Aquatics,Swimming,"SACCHI, Luca",ITA,Men,400m individual medley,M,Bronze
