,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
15205,Moscow,1980,Aquatics,Diving,"AMBARTSUMYAN, David",URS,Men,10m platform,M,Bronze
15206,Moscow,1980,Aquatics,Diving,"HOFFMANN, Falk",GDR,Men,10m platform,M,Gold
15207,Moscow,1980,Aquatics,Diving,"ALEINIK, Vladimir",URS,Men,10m platform,M,Silver
15208,Moscow,1980,Aquatics,Diving,"TSOTADZE, Liana",URS,Women,10m platform,W,Bronze
15209,Moscow,1980,Aquatics,Diving,"JÄSCHKE, Martina",GDR,Women,10m platform,W,Gold
15210,Moscow,1980,Aquatics,Diving,"EMIRZIAN, Servard",URS,Women,10m platform,W,Silver
15211,Moscow,1980,Aquatics,Diving,"CAGNOTTO, Giorgio Franco",ITA,Men,3m springboard,M,Bronze
15212,Moscow,1980,Aquatics,Diving,"PORTNOV, Aleksandr",URS,Men,3m springboard,M,Gold
15213,Moscow,1980,Aquatics,Diving,"GIRON, Carlos",MEX,Men,3m springboard,M,Silver
15214,Moscow,1980,Aquatics,Diving,"GUTHKE, Karin",GDR,Women,3m springboard,W,Bronze
15215,Moscow,1980,Aquatics,Diving,"KALININA, Irina",URS,Women,3m springboard,W,Gold
15216,Moscow,1980,Aquatics,Diving,"PROEBER, Martina",GDR,Women,3m springboard,W,Silver
15217,Moscow,1980,Aquatics,Swimming,"DOLGOV, Vladimir",URS,Men,100m backstroke,M,Bronze
15218,Moscow,1980,Aquatics,Swimming,"BARON, Bengt",SWE,Men,100m backstroke,M,Gold
15219,Moscow,1980,Aquatics,Swimming,"KUZNETSOV, Viktor",URS,Men,100m backstroke,M,Silver
15220,Moscow,1980,Aquatics,Swimming,"RIEDEL, Petra",GDR,Women,100m backstroke,W,Bronze
15221,Moscow,1980,Aquatics,Swimming,"REINISCH, Rica",GDR,Women,100m backstroke,W,Gold
15222,Moscow,1980,Aquatics,Swimming,"KLEBER, Ina",GDR,Women,100m backstroke,W,Silver
15223,Moscow,1980,Aquatics,Swimming,"EVANS, Peter",AUS,Men,100m breaststroke,M,Bronze
15224,Moscow,1980,Aquatics,Swimming,"GOODHEW, Dunkan",GBR,Men,100m breaststroke,M,Gold
