,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
8018,Helsinki,1952,Aquatics,Diving,"HAASE, Günther",GER,Men,10m platform,M,Bronze
8019,Helsinki,1952,Aquatics,Diving,"LEE, Samuel",USA,Men,10m platform,M,Gold
8020,Helsinki,1952,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10m platform,M,Silver
8021,Helsinki,1952,Aquatics,Diving,"STOVER-IRWIN, Juno Roslays",USA,Women,10m platform,W,Bronze
8022,Helsinki,1952,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,10m platform,W,Gold
8023,Helsinki,1952,Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10m platform,W,Silver
8024,Helsinki,1952,Aquatics,Diving,"CLOTWORTHY, Robert Lynn",USA,Men,3m springboard,M,Bronze
8025,Helsinki,1952,Aquatics,Diving,"BROWNING, David Grieg Jr.",USA,Men,3m springboard,M,Gold
8026,Helsinki,1952,Aquatics,Diving,"ANDERSON, Miller Altman",USA,Men,3m springboard,M,Silver
8027,Helsinki,1952,Aquatics,Diving,"OLSEN-JENSEN, Zoe-Ann",USA,Women,3m springboard,W,Bronze
8028,Helsinki,1952,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,3m springboard,W,Gold
8029,Helsinki,1952,Aquatics,Diving,"MOREAU, Madeleine",FRA,Women,3m springboard,W,Silver
8030,Helsinki,1952,Aquatics,Swimming,"TAYLOR, Jack George Neil",USA,Men,100m backstroke,M,Bronze
8031,Helsinki,1952,Aquatics,Swimming,"OYAKAWA, Yoshinobu",USA,Men,100m backstroke,M,Gold
8032,Helsinki,1952,Aquatics,Swimming,"BOZON, Gilbert",FRA,Men,100m backstroke,M,Silver
8033,Helsinki,1952,Aquatics,Swimming,"STEWART, Jean",NZL,Women,100m backstroke,W,Bronze
8034,Helsinki,1952,Aquatics,Swimming,"HARRISON, Joan Cynthia",RSA,Women,100m backstroke,W,Gold
8035,Helsinki,1952,Aquatics,Swimming,"WIELEMA, Geertje",NED,Women,100m backstroke,W,Silver
8036,Helsinki,1952,Aquatics,Swimming,"LARSSON, Göran",SWE,Men,100m freestyle,M,Bronze
8037,Helsinki,1952,Aquatics,Swimming,"SCHOLES, Clark Currie",USA,Men,100m freestyle,M,Gold
8038,Helsinki,1952,Aquatics,Swimming,"SUZUKI, Hiroshi",JPN,Men,100m freestyle,M,Silver
8039,Helsinki,1952,Aquatics,Swimming,"TEMES, Judith",HUN,Women,100m freestyle,W,Bronze
8040,Helsinki,1952,Aquatics,Swimming,"SZÖKE, Katalin",HUN,Women,100m freestyle,W,Gold
8041,Helsinki,1952,Aquatics,Swimming,"TERMEULEN, Johanna Maria",NED,Women,100m freestyle,W,Silver
8042,Helsinki,1952,Aquatics,Swimming,"OKAMOTO, Tetsuo",BRA,Men,1500m freestyle,M,Bronze
8043,Helsinki,1952,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,1500m freestyle,M,Gold
8044,Helsinki,1952,Aquatics,Swimming,"HASHIZUME, Shiro",JPN,Men,1500m freestyle,M,Silver
8045,Helsinki,1952,Aquatics,Swimming,"KLEIN, Herbert",GER,Men,200m breaststroke,M,Bronze
8046,Helsinki,1952,Aquatics,Swimming,"DAVIES, John Griffith",AUS,Men,200m breaststroke,M,Gold
8047,Helsinki,1952,Aquatics,Swimming,"STASSFORTH, Bowen Dow",USA,Men,200m breaststroke,M,Silver
8048,Helsinki,1952,Aquatics,Swimming,"GORDON-MCKAY, Helen Orr",GBR,Women,200m breaststroke,W,Bronze
8049,Helsinki,1952,Aquatics,Swimming,"SZEKELY, Eva",HUN,Women,200m breaststroke,W,Gold
8050,Helsinki,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,200m breaststroke,W,Silver
8051,Helsinki,1952,Aquatics,Swimming,"ÖSTRAND, Per-Olof",SWE,Men,400m freestyle,M,Bronze
8052,Helsinki,1952,Aquatics,Swimming,"BOITEUX, Jean",FRA,Men,400m freestyle,M,Gold
8053,Helsinki,1952,Aquatics,Swimming,"KONNO, Ford Hiroshi",USA,Men,400m freestyle,M,Silver
8054,Helsinki,1952,Aquatics,Swimming,"KAWAMOTO, Evelyn Tokue",USA,Women,400m freestyle,W,Bronze
8055,Helsinki,1952,Aquatics,Swimming,"GYENGE, Valeria",HUN,Women,400m freestyle,W,Gold
8056,Helsinki,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,400m freestyle,W,Silver
8057,Helsinki,1952,Aquatics,Swimming,"ALDERSON-ROSAZZA, Joan Ann",USA,Women,4x100m freestyle relay,W,Bronze
8058,Helsinki,1952,Aquatics,Swimming,"KAWAMOTO, Evelyn Tokue",USA,Women,4x100m freestyle relay,W,Bronze
8059,Helsinki,1952,Aquatics,Swimming,"LA VINE, Jacqueline Carol",USA,Women,4x100m freestyle relay,W,Bronze
8060,Helsinki,1952,Aquatics,Swimming,"STEPAN, Mary Louise",USA,Women,4x100m freestyle relay,W,Bronze
8061,Helsinki,1952,Aquatics,Swimming,"NOVAK, Ilona",HUN,Women,4x100m freestyle relay,W,Gold
8062,Helsinki,1952,Aquatics,Swimming,"NOVAK-GERARD, Eva",HUN,Women,4x100m freestyle relay,W,Gold
