,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
8907,Melbourne / Stockholm,1956,Aquatics,Diving,"CONNER, Richard Carroll",USA,Men,10m platform,M,Bronze
8908,Melbourne / Stockholm,1956,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,10m platform,M,Gold
8909,Melbourne / Stockholm,1956,Aquatics,Diving,"TOBIAN, Gary Milburn",USA,Men,10m platform,M,Silver
8910,Melbourne / Stockholm,1956,Aquatics,Diving,"MYERS-POPE, Paula Jean",USA,Women,10m platform,W,Bronze
8911,Melbourne / Stockholm,1956,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,10m platform,W,Gold
8912,Melbourne / Stockholm,1956,Aquatics,Diving,"STOVER-IRWIN, Juno Roslays",USA,Women,10m platform,W,Silver
8913,Melbourne / Stockholm,1956,Aquatics,Diving,"CAPILLA PEREZ, Joaquin",MEX,Men,3m springboard,M,Bronze
8914,Melbourne / Stockholm,1956,Aquatics,Diving,"CLOTWORTHY, Robert Lynn",USA,Men,3m springboard,M,Gold
8915,Melbourne / Stockholm,1956,Aquatics,Diving,"HARPER, Donald De Wayne",USA,Men,3m springboard,M,Silver
8916,Melbourne / Stockholm,1956,Aquatics,Diving,"MAC DONALD, Irene Margaret",CAN,Women,3m springboard,W,Bronze
8917,Melbourne / Stockholm,1956,Aquatics,Diving,"MCCORMICK, Patricia",USA,Women,3m springboard,W,Gold
8918,Melbourne / Stockholm,1956,Aquatics,Diving,"STUNYO, Jeanne Georgetta",USA,Women,3m springboard,W,Silver
8919,Melbourne / Stockholm,1956,Aquatics,Swimming,"MCKINNEY, Frank Edward Jr.",USA,Men,100m backstroke,M,Bronze
8920,Melbourne / Stockholm,1956,Aquatics,Swimming,"THEILE, David Egmont",AUS,Men,100m backstroke,M,Gold
8921,Melbourne / Stockholm,1956,Aquatics,Swimming,"MONCKTON, John James",AUS,Men,100m backstroke,M,Silver
8922,Melbourne / Stockholm,1956,Aquatics,Swimming,"EDWARDS, Margaret",GBR,Women,100m backstroke,W,Bronze
8923,Melbourne / Stockholm,1956,Aquatics,Swimming,"GRINHAM, Judith Brenda",GBR,Women,100m backstroke,W,Gold
8924,Melbourne / Stockholm,1956,Aquatics,Swimming,"CONE, Carin Alice",USA,Women,100m backstroke,W,Silver
8925,Melbourne / Stockholm,1956,Aquatics,Swimming,"SEARS, Mary Jane",USA,Women,100m butterfly,W,Bronze
8926,Melbourne / Stockholm,1956,Aquatics,Swimming,"MANN, Shelley Isabel",USA,Women,100m butterfly,W,Gold
8927,Melbourne / Stockholm,1956,Aquatics,Swimming,"RAMEY, Nancy Jane",USA,Women,100m butterfly,W,Silver
8928,Melbourne / Stockholm,1956,Aquatics,Swimming,"CHAPMAN, Gary",AUS,Men,100m freestyle,M,Bronze
8929,Melbourne / Stockholm,1956,Aquatics,Swimming,"HENRICKS, Jon Malcolm",AUS,Men,100m freestyle,M,Gold
8930,Melbourne / Stockholm,1956,Aquatics,Swimming,"DEVITT, John",AUS,Men,100m freestyle,M,Silver
8931,Melbourne / Stockholm,1956,Aquatics,Swimming,"LEECH, Faith Yvonne",AUS,Women,100m freestyle,W,Bronze
