,City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
16592,Los Angeles,1984,Aquatics,Diving,"LI, Kong-Zheng",CHN,Men,10m platform,M,Bronze
16593,Los Angeles,1984,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,10m platform,M,Gold
16594,Los Angeles,1984,Aquatics,Diving,"KIMBALL, Bruce D.",USA,Men,10m platform,M,Silver
16595,Los Angeles,1984,Aquatics,Diving,"WYLAND-WILLIAMS, Wendy Lian",USA,Women,10m platform,W,Bronze
16596,Los Angeles,1984,Aquatics,Diving,"ZHOU, Ji-Hong",CHN,Women,10m platform,W,Gold
16597,Los Angeles,1984,Aquatics,Diving,"MITCHELL, Michele",USA,Women,10m platform,W,Silver
16598,Los Angeles,1984,Aquatics,Diving,"MERRIOTT, Ronald Marshall",USA,Men,3m springboard,M,Bronze
16599,Los Angeles,1984,Aquatics,Diving,"LOUGANIS, Gregory",USA,Men,3m springboard,M,Gold
16600,Los Angeles,1984,Aquatics,Diving,"TAN, Liang-De",CHN,Men,3m springboard,M,Silver
16601,Los Angeles,1984,Aquatics,Diving,"SEUFERT, Christina",USA,Women,3m springboard,W,Bronze
16602,Los Angeles,1984,Aquatics,Diving,"BERNIER, Sylvie",CAN,Women,3m springboard,W,Gold
16603,Los Angeles,1984,Aquatics,Diving,"MCCORMICK, Kelly Anne",USA,Women,3m springboard,W,Silver
16604,Los Angeles,1984,Aquatics,Swimming,"WEST, Michael",CAN,Men,100m backstroke,M,Bronze
16605,Los Angeles,1984,Aquatics,Swimming,"CAREY, Richard John",USA,Men,100m backstroke,M,Gold
16606,Los Angeles,1984,Aquatics,Swimming,"WILSON, David Dennis",USA,Men,100m backstroke,M,Silver
16607,Los Angeles,1984,Aquatics,Swimming,"DE ROVER, Jolanda",NED,Women,100m backstroke,W,Bronze
16608,Los Angeles,1984,Aquatics,Swimming,"ANDREWS, Theresa",USA,Women,100m backstroke,W,Gold
16609,Los Angeles,1984,Aquatics,Swimming,"MITCHELL, Elizabeth",USA,Women,100m backstroke,W,Silver
16610,Los Angeles,1984,Aquatics,Swimming,"EVANS, Peter",AUS,Men,100m breaststroke,M,Bronze
16611,Los Angeles,1984,Aquatics,Swimming,"LUNDQUIST, Steven K.",USA,Men,100m breaststroke,M,Gold
16612,Los Angeles,1984,Aquatics,Swimming,"DAVIS, Victor",CAN,Men,100m breaststroke,M,Silver
16613,Los Angeles,1984,Aquatics,Swimming,"POIROT, Catherine",FRA,Women,100m breaststroke,W,Bronze
16614,Los Angeles,1984,Aquatics,Swimming,"VAN STAVEREN, Petra",NED,Women,100m breaststroke,W,Gold
16615,Los Angeles,1984,Aquatics,Swimming,"OTTENBRITE, Anne",CAN,Women,100m breaststroke,W,Silver
16616,Los Angeles,1984,Aquatics,Swimming,"BUCHANAN, Glenn",AUS,Men,100m butterfly,M,Bronze
16617,Los Angeles,1984,Aquatics,Swimming,"GROSS, Michael",FRG,Men,100m butterfly,M,Gold
16618,Los Angeles,1984,Aquatics,Swimming,"MORALES, Pablo",USA,Men,100m butterfly,M,Silver
16619,Los Angeles,1984,Aquatics,Swimming,"SEICK, Karin",FRG,Women,100m butterfly,W,Bronze
16620,Los Angeles,1984,Aquatics,Swimming,"MEAGHER, Mary T.",USA,Women,100m butterfly,W,Gold
16621,Los Angeles,1984,Aquatics,Swimming,"JOHNSON, Jenna Leigh",USA,Women,100m butterfly,W,Silver
16622,Los Angeles,1984,Aquatics,Swimming,"JOHANSSON, Per",SWE,Men,100m freestyle,M,Bronze
16623,Los Angeles,1984,Aquatics,Swimming,"GAINES, Ambrose Iv",USA,Men,100m freestyle,M,Gold
16624,Los Angeles,1984,Aquatics,Swimming,"STOCKWELL, Marcus",AUS,Men,100m freestyle,M,Silver
16625,Los Angeles,1984,Aquatics,Swimming,"VERSTAPPEN, Annemarie",NED,Women,100m freestyle,W,Bronze
16626,Los Angeles,1984,Aquatics,Swimming,"HOGSHEAD, Nancy Lynn",USA,Women,100m freestyle,W,Gold
